date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:41	78/78	---M--	200	added ('OK')	text/plain	etag:%220a4bc228dacd01:0%22	http://www.livebroker.com.au/robots.txt		(from )
10:53:43	89673/89673	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202016%2000:53:43%20GMT	http://www.livebroker.com.au/	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/index.html	(from )
10:53:45	19445/19445	---M--	200	added ('OK')	image/png	etag:%22d9f54c1d7546d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/LB-57.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/LB-57.png	(from http://www.livebroker.com.au/)
10:53:46	19818/19818	---M--	200	added ('OK')	image/png	etag:%221b508d1d7546d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/LB-72.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/LB-72.png	(from http://www.livebroker.com.au/)
10:53:47	20933/20933	---M--	200	added ('OK')	image/png	etag:%224850ac1d7546d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/LB-114.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/LB-114.png	(from http://www.livebroker.com.au/)
10:53:47	20744/20744	---M--	200	added ('OK')	image/png	etag:%220b1cd1d7546d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/LB-144.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/LB-144.png	(from http://www.livebroker.com.au/)
10:53:49	1366/1366	---M--	200	added ('OK')	text/css	etag:%22e519ad6c724d01:0%22	http://www.livebroker.com.au/Libraries/nanoscroller/nanoscroller.css	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/Libraries/nanoscroller/nanoscroller.css	(from http://www.livebroker.com.au/)
10:53:50	113498/113498	---MCZ	200	added ('OK')	text/css	etag:W/%223ab3438f85ad9f9e27e1af1facf0a9c4%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	C:/temp/websites/livebroker/LiveBroker/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	(from http://www.livebroker.com.au/)
10:53:51	95786/95786	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a47-1762a%22	https://code.jquery.com/jquery-1.11.1.min.js	C:/temp/websites/livebroker/LiveBroker/code.jquery.com/jquery-1.11.1.min.js	(from http://www.livebroker.com.au/)
10:53:53	31200/31200	---MC-	200	added ('OK')	text/css	etag:%22cssstylesheet|07ab079f-c1ac-494c-86d9-ac73664c505a%22	http://www.livebroker.com.au/CMSPages/GetResource.ashx?stylesheetname=LiveBroker	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/CMSPages/LiveBrokerfbad.css	(from http://www.livebroker.com.au/)
10:53:53	35601/35601	---MCZ	200	added ('OK')	application/javascript	etag:W/%222616d3564578d8f845813483352802a9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min.js	C:/temp/websites/livebroker/LiveBroker/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min.js	(from http://www.livebroker.com.au/)
